Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Situação totalização;Votos válidos;Votos nominais;Data de carga;eleicao
14630;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;MAURITI;JOÃO PAULO FURTADO;13;Prefeito;PT;Eleito;28644;20593;2026-02-28 19:30:47;2024
13358;Parda;Divorciado(a);45 a 49 anos;Masculino;Ensino Médio completo;BAIXIO;LUCIO ALVES BARROSO;10;Empresário;REPUBLICANOS;Eleito;4916;2542;2026-02-28 19:30:47;2024
13897;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;EVANDRO SA BARRETO LEITAO;13;Deputado;PT;Eleito;1421428;716133;2026-02-28 19:30:47;2024
15997;Parda;Divorciado(a);60 a 64 anos;Feminino;Superior completo;PARAIPABA;JOANA D' ARC BATISTA CARVALHO;55;Aposentado (Exceto Servidor Público);PSD;Não Eleito;20496;0;2026-02-28 19:30:47;2024
14753;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;MORADA NOVA;MARCO ANTONIO DE ARAUJO BICA JUNIOR;13;Advogado;PT;Não Eleito;48016;23206;2026-02-28 19:30:47;2024
14796;Branca;Solteiro(a);25 a 29 anos;Masculino;Superior completo;MORRINHOS;MANOEL AIRTON BRUNO NETO;45;Outros;PSDB;Não Eleito;17345;8344;2026-02-28 19:30:47;2024
13404;Branca;Solteiro(a);25 a 29 anos;Feminino;Superior completo;BARROQUINHA;TAINAH GOMES MARINHO DE OLIVEIRA;13;Engenheiro;PT;Não Eleito;12742;6338;2026-02-28 19:30:47;2024
14737;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior completo;MONSENHOR TABOSA;JOSE AILTON SILVA DOMINGOS;10;Empresário;REPUBLICANOS;Não Eleito;12197;4982;2026-02-28 19:30:47;2024
14060;Parda;Casado(a);60 a 64 anos;Feminino;Superior completo;IBARETAMA;ELIRIA MARIA FREITAS DE QUEIROZ;55;Sociólogo;PSD;Eleito;11822;6499;2026-02-28 19:30:47;2024
13471;Parda;Solteiro(a);55 a 59 anos;Masculino;Superior incompleto;BOA VIAGEM;AMANCIO JOSE DE LIMA FILHO;50;Advogado;PSOL;Não Eleito;33851;3242;2026-02-28 19:30:47;2024
14494;Parda;Casado(a);40 a 44 anos;Masculino;Superior incompleto;JUCÁS;JOSE LUNA;44;Empresário;UNIÃO;Não Eleito;16461;6210;2026-02-28 19:30:47;2024
15539;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;SÃO LUÍS DO CURU;TIAGO AGUIAR ABREU PORTELA BARROSO;40;Advogado;PSB;Eleito;10467;5474;2026-02-28 19:30:47;2024
14770;Branca;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;MORAÚJO;ANTONIO CARLOS OLIVEIRA BELCHIOR;22;Vereador;PL;Não Eleito;7402;35;2026-02-28 19:30:47;2024
13340;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;IPAPORANGA;FRANCISCO CARDOSO LIMA;44;Contador;UNIÃO;Não Eleito;8432;678;2026-02-28 19:30:47;2024
13447;Parda;Divorciado(a);70 a 74 anos;Masculino;Ensino Médio completo;CATUNDA;ANTONIO PEREIRA LEITAO;44;Empresário;UNIÃO;Não Eleito;8255;3045;2026-02-28 19:30:47;2024
14559;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;MARANGUAPE;SAMARA BEZERRA CORDEIRO DA SILVA;25;Terapeuta;PRD;Não Eleito;62512;16258;2026-02-28 19:30:47;2024
13617;Parda;Divorciado(a);60 a 64 anos;Masculino;Ensino Médio completo;CARIRÉ;ANTONIO RUFINO MARTINS;12;Empresário;PDT;Eleito;12722;9502;2026-02-28 19:30:47;2024
14494;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental completo;JUCÁS;JOSE EDSONRIVA SOUZA CUNHA;40;Empresário;PSB;Eleito;16461;9778;2026-02-28 19:30:47;2024
14435;Branca;Casado(a);65 a 69 anos;Masculino;Superior completo;JARDIM;ANTONIO FERNANDO COUTINHO;13;Médico;PT;Eleito;17800;10326;2026-02-28 19:30:47;2024
