Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
14478;#NE#;Casado(a);70 a 74 anos;Masculino;Superior completo;JUAZEIRO DO NORTE;RAIMUNDO ANTONIO DE MACEDO;15;Deputado;PMDB;NORDESTE;Eleito;62965;32353;2021-07-26 16:58:35
14834;#NE#;Casado(a);25 a 29 anos;Masculino;Ensino Médio completo;MULUNGU;FRANCISCO SAVIO BEZERRA UCHOA;55;Empresário;PDT;NORDESTE;Eleito;5965;3616;2021-07-26 16:58:35
14931;#NE#;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;PACAJUS;AURI COSTA ARARIPE;22;Prefeito;PR;NORDESTE;Não Eleito;26707;0;2021-07-26 16:58:35
13552;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;CANINDÉ;DOMINGOS MARCOS PIRES COELHO;27;Professor de Ensino Médio;PSDC;NORDESTE;Não Eleito;23873;5580;2021-07-26 16:58:35
13293;#NE#;Solteiro(a);40 a 44 anos;Masculino;Superior incompleto;ARNEIROZ;ANTONIO MONTEIRO PEDROSA FILHO;15;Prefeito;PMDB;NORDESTE;Eleito;5193;2822;2021-07-26 16:58:35
14036;#NE#;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;GUARAMIRANGA;LUIS EDUARDO VIANA VIEIRA;22;Prefeito;PR;NORDESTE;Eleito;4420;2405;2021-07-26 16:58:35
14931;#NE#;Casado(a);30 a 34 anos;Masculino;Superior completo;PACAJUS;FLANKY JOSE AMARAL CHAVES;11;Advogado;PP;NORDESTE;Não Eleito;26707;7296;2021-07-26 16:58:35
13897;#NE#;Solteiro(a);40 a 44 anos;Masculino;Superior completo;FORTALEZA;RENATO ROSENO DE OLIVEIRA;50;Advogado;PSOL;NORDESTE;Não Eleito;129718;15143;2021-07-26 16:58:35
14796;#NE#;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;MORRINHOS;JERÔNIMO NETO BRANDÃO;13;Prefeito;PT;NORDESTE;Eleito;13022;6590;2021-07-26 16:58:35
13455;#NE#;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;BELA CRUZ;JOSE FLAVIO VASCONCELOS;14;Comerciante;PTB;NORDESTE;Não Eleito;16422;71;2021-07-26 16:58:35
15334;#NE#;Casado(a);50 a 54 anos;Masculino;Superior completo;REDENÇÃO;HERCULANO HUGO BEZERRA VIANA;15;Professor de Ensino Superior;PMDB;NORDESTE;Não Eleito;18517;2639;2021-07-26 16:58:35
15911;#NE#;Solteiro(a);30 a 34 anos;Masculino;Superior completo;FORQUILHA;GERLASIO MARTINS DE LOIOLA;13;Servidor Público Federal;PT;NORDESTE;Eleito;14321;7598;2021-07-26 16:58:35
