Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
13897;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;FORTALEZA;WAGNER SOUSA GOMES;22;Militar Reformado;PR;NORDESTE;Segundo turno;1286510;400802;2026-01-19 14:01:28
13510;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental completo;CAMOCIM;PAULO ROGER VIEIRA DE ARAÚJO;10;Empresário;PRB;NORDESTE;Não Eleito;36581;1078;2026-01-19 14:01:28
13498;Branca;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;BREJO SANTO;JORGE ADRIANO DE SOUSA;15;Eletricista e Assemelhados;PMDB;NORDESTE;Não Eleito;26268;6382;2026-01-19 14:01:28
14419;Branca;Solteiro(a);35 a 39 anos;Feminino;Superior completo;JAGUARUANA;ANA TERESA BARBOSA DE CARVALHO;13;Prefeito;PT;NORDESTE;Não Eleito;23142;11147;2026-01-19 14:01:28
13226;Indígena;Casado(a);55 a 59 anos;Masculino;Superior completo;EUSÉBIO;JARBAS BEZERRA XAVIER;65;Servidor Público Federal;PC do B;NORDESTE;Não Eleito;31849;265;2026-01-19 14:01:28
15458;Parda;Casado(a);45 a 49 anos;Masculino;Superior incompleto;SANTA QUITÉRIA;MARCELO HENRIQUE MARTINS MAGALHAES;14;Empresário;PTB;NORDESTE;Não Eleito;25990;2885;2026-01-19 14:01:28
98531;Parda;Casado(a);60 a 64 anos;Feminino;Superior completo;QUIXELÔ;MARIA DE FATIMA ARAUJO;13;Pedagogo;PT;NORDESTE;Eleito;11064;5618;2026-01-19 14:01:28
13145;Parda;Divorciado(a);30 a 34 anos;Masculino;Superior completo;ACARAPE;FRANKLIN VERISSIMO OLIVEIRA;55;Prefeito;PSD;NORDESTE;Eleito;10297;5511;2026-01-19 14:01:28
15695;Branca;Viúvo(a);75 a 79 anos;Masculino;Superior completo;TIANGUÁ;LUIZ MENEZES DE LIMA;55;Aposentado (Exceto Servidor Público);PSD;NORDESTE;Eleito;39140;20268;2026-01-19 14:01:28
15555;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;SENADOR POMPEU;ANTONIO MAURÍCIO PINHEIRO JUCÁ;12;Policial Civil;PDT;NORDESTE;Eleito;16483;10137;2026-01-19 14:01:28
15830;Parda;Casado(a);25 a 29 anos;Masculino;Superior incompleto;VIÇOSA DO CEARÁ;DIVALDO CARNEIRO SOARES;12;Empresário;PDT;NORDESTE;Não Eleito;34178;14122;2026-01-19 14:01:28
14311;Branca;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;ITAPIÚNA;VALDECI ARAUJO FREITAS;65;Comerciante;PC do B;NORDESTE;Não Eleito;12789;644;2026-01-19 14:01:28
13307;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;OCARA;ANTONIO LEOMAR PEIXOTO FARIAS;12;Médico;PDT;NORDESTE;Não Eleito;19753;9522;2026-01-19 14:01:28
14176;Branca;Solteiro(a);25 a 29 anos;Masculino;Superior incompleto;IPU;DIEGO JOSE DE LIMA CARLOS;12;Empresário;PDT;NORDESTE;Não Eleito;23982;11098;2026-01-19 14:01:28
15890;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Fundamental incompleto;CRUZ;ODAIR JOSE MENDES DE VASCONCELOS;13;Prefeito;PT;NORDESTE;Não Eleito;16321;7544;2026-01-19 14:01:28
15610;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;SOLONÓPOLE;CARLOS KLEBER DE SOUSA CHAVES;31;Servidor Público Municipal;PHS;NORDESTE;Não Eleito;11562;91;2026-01-19 14:01:28
13242;Branca;Divorciado(a);45 a 49 anos;Masculino;Superior incompleto;GUAIÚBA;MARCELO DE CASTRO FRADIQUE ACCIOLY;22;Comerciante;PR;NORDESTE;Eleito;15888;8725;2026-01-19 14:01:28
14079;Branca;Casado(a);30 a 34 anos;Masculino;Superior incompleto;IBIAPINA;ANTONIO LEANDRO GOMES LINHARES;22;Empresário;PR;NORDESTE;Eleito;13282;7964;2026-01-19 14:01:28
15954;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior completo;ITAREMA;ALISANDRE MIRANDA COELHO;65;Empresário;PC do B;NORDESTE;Não Eleito;24730;6251;2026-01-19 14:01:28
15539;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;SÃO LUÍS DO CURU;JOSÉLIA MOURA AGUIAR BARROSO;55;Professor de Ensino Fundamental;PSD;NORDESTE;Não Eleito;10062;3902;2026-01-19 14:01:28
13404;Branca;Solteiro(a);55 a 59 anos;Masculino;Superior completo;BARROQUINHA;ADEMAR PINTO VERAS;14;Professor de Ensino Superior;PTB;NORDESTE;Eleito;10522;5425;2026-01-19 14:01:28
15997;Parda;Solteiro(a);25 a 29 anos;Masculino;Superior completo;PARAIPABA;DIMITRI RABELO BATISTA CASTRO;45;Administrador;PSDB;NORDESTE;Eleito;20064;10568;2026-01-19 14:01:28
15490;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;SÃO GONÇALO DO AMARANTE;FRANCISCO CLÁUDIO PINTO PINHO;12;Tabelião;PDT;NORDESTE;Eleito;34092;21065;2026-01-19 14:01:28
14095;Branca;Casado(a);25 a 29 anos;Feminino;Superior completo;ICÓ;ANA LAIS PEIXOTO CORREIA NUNES;35;Administrador;PMB;NORDESTE;Eleito;38990;20398;2026-01-19 14:01:28
15598;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;SOBRAL;FRANCISCO JOSE ALVES GUIMARAES;45;Servidor Público Federal;PSDB;NORDESTE;Não Eleito;112569;8917;2026-01-19 14:01:28
14010;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;GUARACIABA DO NORTE;ANTONIO ADAIL MACHADO CASTRO;15;Médico;PMDB;NORDESTE;Eleito;23429;15870;2026-01-19 14:01:28
14036;Branca;Casado(a);30 a 34 anos;Feminino;Superior completo;GUARAMIRANGA;ROBERLANDIA FERREIRA CASTELO BRANCO;12;Comerciante;PDT;NORDESTE;Eleito;4801;2264;2026-01-19 14:01:28
