Ano de eleição;Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Turno;Zona;Votos válidos;Votos nominais;Data de carga
2024;15172;Parda;Divorciado(a);50 a 54 anos;Masculino;Ensino Médio completo;PEREIRO;JOSE HERMANO DO NASCIMENTO NOGUEIRA;13;Empresário;PT;NORDESTE;Eleito;1;10;11360;9110;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;NORDESTE;Não Eleito;2;118;83731;41150;2026-02-28 19:30:47
2024;15636;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;TABULEIRO DO NORTE;PEDRO NOGUEIRA FERREIRA;55;Agricultor;PSD;NORDESTE;Não Eleito;1;91;21089;9989;2026-02-28 19:30:47
2024;13277;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;ARATUBA;CARLOS ALBERTO COLARES MENEZES;40;Empresário;PSB;NORDESTE;Não Eleito;1;105;10737;3750;2026-02-28 19:30:47
2024;13897;Preta;Separado(a) judicialmente;35 a 39 anos;Masculino;Ensino Médio completo;FORTALEZA;TECIO NUNES SALGADO;50;Outros;PSOL;NORDESTE;Não Eleito;1;94;79500;396;2026-02-28 19:30:47
2024;13188;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;HORIZONTE;ALEXANDRE HOLANDA SABINO;12;Médico;PDT;NORDESTE;Não Eleito;1;78;49791;2548;2026-02-28 19:30:47
2024;15474;Parda;Solteiro(a);50 a 54 anos;Masculino;Superior completo;SÃO BENEDITO;HENRIQUE PAULO SANTANA;12;Empresário;PDT;NORDESTE;Não Eleito;1;22;26608;7219;2026-02-28 19:30:47
2024;15970;Branca;Solteiro(a);60 a 64 anos;Masculino;Ensino Médio completo;MILHÃ;MANOEL GECIMAR PINHEIRO;55;Empresário;PSD;NORDESTE;Não Eleito;1;55;9503;3034;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;EVANDRO SA BARRETO LEITAO;13;Deputado;PT;NORDESTE;Segundo turno;1;3;72239;24973;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;EVANDRO SA BARRETO LEITAO;13;Deputado;PT;NORDESTE;Segundo turno;1;117;84214;28150;2026-02-28 19:30:47
2024;15130;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;PENAFORTE;LUIS FERNANDES BEZERRA FILHO;40;Técnico em Agronomia e Agrimensura;PSB;NORDESTE;Eleito;1;70;7721;4497;2026-02-28 19:30:47
2024;15440;Preta;Casado(a);45 a 49 anos;Masculino;Superior completo;SALITRE;RONDILSON DE ALENCAR RIBEIRO;13;Agricultor;PT;NORDESTE;Eleito;1;38;12623;6358;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;GEORGE LIMA DE ARAÚJO;77;Empresário;SOLIDARIEDADE;NORDESTE;Não Eleito;1;2;83472;403;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;GEORGE LIMA DE ARAÚJO;77;Empresário;SOLIDARIEDADE;NORDESTE;Não Eleito;1;115;84003;450;2026-02-28 19:30:47
2024;14613;Parda;Casado(a);35 a 39 anos;Masculino;Ensino Médio incompleto;MASSAPÊ;JOSE JÂNIO RICARDO;30;Outros;NOVO;NORDESTE;Não Eleito;1;45;27550;143;2026-02-28 19:30:47
2024;13870;Branca;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;FARIAS BRITO;FRANCISCO AUSTRAGÉZIO SALES;12;Empresário;PDT;NORDESTE;Eleito;1;62;15497;8486;2026-02-28 19:30:47
2024;15792;Parda;Solteiro(a);30 a 34 anos;Masculino;Ensino Médio completo;URUOCA;JAN KENNEDY PAIVA AQUINO;13;Prefeito;PT;NORDESTE;Eleito;1;25;9329;7932;2026-02-28 19:30:47
2024;13935;Parda;Solteiro(a);30 a 34 anos;Masculino;Superior completo;GENERAL SAMPAIO;JOÃO PAULO SALES CORDEIRO;13;Advogado;PT;NORDESTE;Eleito;1;50;7411;4078;2026-02-28 19:30:47
