Cargo;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Ocupação;Partido;Região;Situação totalização;Turno;UF;Votos válidos;Votos nominais;Data de carga
Prefeito;Parda;Solteiro(a);55 a 59 anos;Feminino;Superior completo;TAPEROÁ;CHRISTIANNE MARY PEREIRA GUIMARÃES;Prefeito;AVANTE;NORDESTE;Eleito;1;BA;11381;7801;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;CURRAIS;RAIMUNDO MARTINS DE SOUSA SANTOS SOBRINHO;Prefeito;MDB;NORDESTE;Eleito;1;PI;5590;4748;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;IGUAÍ;DAVID CÉSAR LOUZADA ÁLVARES MACEDO;Médico;AVANTE;NORDESTE;Eleito;1;BA;13954;7861;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);30 a 34 anos;Masculino;Ensino Médio completo;ÁGUA NOVA;MACÁRIO SILVA DE CARVALHO;Comerciante;UNIÃO;NORDESTE;Eleito;1;RN;2727;1491;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;BOM JESUS;NESTOR RENATO PINHEIRO ELVAS;Prefeito;MDB;NORDESTE;Eleito;1;PI;16308;10080;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental completo;MONTES ALTOS;DOMINGOS PINHEIRO CIRQUEIRA;Pecuarista;UNIÃO;NORDESTE;Eleito;1;MA;6192;4573;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);30 a 34 anos;Masculino;Ensino Médio completo;BUÍQUE;TÚLIO HENRIQUE ARAÚJO CAVALCANTI;Administrador;MDB;NORDESTE;Eleito;1;PE;29106;16044;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;NINA RODRIGUES;JOÃO FRANCISCO JONES FORTES BRAGA;Aposentado (Exceto Servidor Público);MDB;NORDESTE;Eleito;1;MA;8840;5384;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);45 a 49 anos;Feminino;Superior completo;MACARANI;SELMA RODRIGUES SOUTO;Prefeito;PSD;NORDESTE;Eleito;1;BA;9941;6278;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Feminino;Superior completo;SÃO VICENTE;JANE MARIA SOARES DE MEDEIROS;Outros;MDB;NORDESTE;Eleito;1;RN;4278;3761;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;MORPARÁ;NATALITO RIBEIRO DE ALCANTARA;Outros;PT;NORDESTE;Eleito;1;BA;6373;3605;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;SANTA BRÍGIDA;ELTON CARLOS MAGALHÃES;Prefeito;PODE;NORDESTE;Eleito;1;BA;9494;5161;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;AVELINO LOPES;FLÁVIO JOSÉ ALVES;Professor de Ensino Médio;MDB;NORDESTE;Eleito;1;PI;7940;4249;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);65 a 69 anos;Feminino;Superior completo;SÃO JOSÉ DO BONFIM;ROSALBA GOMES DA NOBREGA MOTA;Economista;REPUBLICANOS;NORDESTE;Eleito;1;PB;3749;2907;2025-05-06 19:30:57
Prefeito;Parda;Divorciado(a);35 a 39 anos;Masculino;Superior completo;BENEDITO LEITE;RODRIGO PIMENTEL DA SILVA COELHO;Empresário;REPUBLICANOS;NORDESTE;Eleito;1;MA;4057;2089;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;TAQUARANA;GERALDO CICERO DA SILVA;Prefeito;MDB;NORDESTE;Eleito;1;AL;12190;6517;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;PUREZA;RICARDO SANTOS DE BRITO;Contador;MDB;NORDESTE;Eleito;1;RN;7280;3830;2025-05-06 19:30:57
Prefeito;Não Informado;Casado(a);40 a 44 anos;Masculino;Superior completo;CACIMBA DE DENTRO;POLLYANNO HENRIQUE PEREIRA;Advogado;PSB;NORDESTE;Eleito;1;PB;11178;6887;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;SÃO JOAQUIM DO MONTE;EDUARDO JOSÉ DE OLIVEIRA LINS;Prefeito;PSDB;NORDESTE;Eleito;1;PE;13376;11524;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;ITAPETINGA;EDUARDO JORGE ALMEIDA HAGGE;Veterinário;MDB;NORDESTE;Eleito;1;BA;37971;20393;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;MARACAÇUMÉ;RUZINALDO GUIMARAES DE MELO;Prefeito;PL;NORDESTE;Eleito;1;MA;12228;9626;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;AGRICOLÂNDIA;MARCOS ANTONIO CARVALHO DE SOUSA;Empresário;MDB;NORDESTE;Eleito;1;PI;4592;2794;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);55 a 59 anos;Masculino;Ensino Médio incompleto;JARDIM DE PIRANHAS;ROGÉRIO SOARES;Prefeito;MDB;NORDESTE;Eleito;1;RN;9975;5258;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);30 a 34 anos;Masculino;Superior completo;PARNAÍBA;FRANCISCO EMANUEL CUNHA DE BRITO;Engenheiro;PP;NORDESTE;Eleito;1;PI;92048;54393;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;AFOGADOS DA INGAZEIRA;ALESANDRO PALMEIRA DE VASCONCELOS LEITE;Prefeito;PSB;NORDESTE;Eleito;1;PE;22670;13061;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Superior incompleto;SANTA LUZIA;HENRY MALDINEY DE LIRA NÓBREGA;Empresário;REPUBLICANOS;NORDESTE;Eleito;1;PB;10250;5905;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);25 a 29 anos;Feminino;Ensino Médio completo;ANTÔNIO MARTINS;JESSICA IRIS FERREIRA DE OLIVEIRA;Dona de Casa;PSD;NORDESTE;Eleito;1;RN;5116;3716;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;SANHARÓ;CÉSAR AUGUSTO DE FREITAS;Prefeito;PC do B;NORDESTE;Eleito;1;PE;12449;9264;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;PENALVA;LUIZ HENRIQUE ALVES GUERRA;Empresário;PP;NORDESTE;Eleito;1;MA;19945;9909;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);60 a 64 anos;Masculino;Ensino Fundamental completo;QUIPAPÁ;GENIVALDO TEMOTEO BEZERRA;Prefeito;REPUBLICANOS;NORDESTE;Eleito;1;PE;11869;6351;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;IMPERATRIZ;RILDO DE OLIVEIRA AMARAL;Deputado;PP;NORDESTE;Eleito;2;MA;148694;81942;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;TOUROS;PEDRO FERREIRA DE FARIAS FILHO;Prefeito;PSD;NORDESTE;Eleito;1;RN;23172;14861;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);45 a 49 anos;Masculino;Ensino Médio completo;GODOFREDO VIANA;MARCIO HEBERTE VIANA ABREU;Outros;PSB;NORDESTE;Eleito;1;MA;7827;3404;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;TOMAR DO GERU;JADSON DE JESUS;Empresário;PSD;NORDESTE;Eleito;1;SE;8367;4915;2025-05-06 19:30:57
Prefeito;Parda;Divorciado(a);55 a 59 anos;Masculino;Ensino Médio completo;CAPIM GROSSO;JOSÉ SIVALDO RIOS DE CARVALHO;Prefeito;PSD;NORDESTE;Eleito;1;BA;18878;11669;2025-05-06 19:30:57
Prefeito;Indígena;Casado(a);40 a 44 anos;Feminino;Superior completo;MARCAÇÃO;ELLYS SÔNIA OLIVEIRA GOMES DA SILVA;Pedagogo;PSD;NORDESTE;Eleito;1;PB;6418;4922;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior completo;BAIANÓPOLIS;WEUBE FEBRONIO DOS SANTOS;Administrador;PP;NORDESTE;Eleito;1;BA;10926;6796;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Superior incompleto;CAMACÃ;PAULO CESAR BOMFIM DE OLIVEIRA;Prefeito;PSD;NORDESTE;Eleito;1;BA;13678;7561;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);50 a 54 anos;Masculino;Superior incompleto;BELÉM DE MARIA;ROBERTO PAULO DO NASCIMENTO SILVA;Outros;PSDB;NORDESTE;Eleito;1;PE;8029;4117;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;IPUPIARA;MARCUS VINICIUS RODRIGUES MORENO;Empresário;PSD;NORDESTE;Eleito;1;BA;8037;4788;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);55 a 59 anos;Feminino;Superior completo;ARACATU;BRAULINA LIMA SILVA;Prefeito;PV;NORDESTE;Eleito;1;BA;11212;6432;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;MARIBONDO;BRUNO ZEFERINO DO CARMO TEIXEIRA;Advogado;PSB;NORDESTE;Eleito;1;AL;9008;5081;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Feminino;Superior incompleto;SERRINHA DOS PINTOS;ROSANIA MARIA TEIXEIRA FERREIRA;Professor de Ensino Fundamental;UNIÃO;NORDESTE;Eleito;1;RN;2821;2821;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;CORAÇÃO DE MARIA;KLEY CARNEIRO LIMA;Empresário;AVANTE;NORDESTE;Eleito;1;BA;17283;11600;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Fundamental completo;JENIPAPO DOS VIEIRAS;ARNOBIO DE ALMEIDA MARTINS;Trabalhador Rural;PDT;NORDESTE;Eleito;1;MA;11489;7730;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);60 a 64 anos;Feminino;Superior completo;PEDRO II;ELISABETE RODRIGUES DE OLIVEIRA NUNES BRANDÃO;Prefeito;MDB;NORDESTE;Eleito;1;PI;26065;15761;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);70 a 74 anos;Feminino;Ensino Médio completo;MATINA;OLGA GENTIL DE CASTRO CARDOSO;Prefeito;PSD;NORDESTE;Eleito;1;BA;8240;5134;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);25 a 29 anos;Masculino;Superior completo;SÃO FRANCISCO DO PIAUÍ;FABIANO ARAUJO DE MOURA;Advogado;PT;NORDESTE;Eleito;1;PI;5182;2657;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;ITACARÉ;EDSON ARANTE SANTOS MENDES;Outros;PT;NORDESTE;Eleito;1;BA;15208;10979;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental completo;BOQUIM;JACKSON COSTA SANTOS;Vereador;PSD;NORDESTE;Eleito;1;SE;17438;9142;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;MIRANDA DO NORTE;IVALDO MARCELO RIBEIRO PEREIRA;Outros;AVANTE;NORDESTE;Eleito;1;MA;15016;8741;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);30 a 34 anos;Masculino;Superior completo;CRISTINO CASTRO;FELIPE FERREIRA DIAS;Prefeito;PT;NORDESTE;Eleito;1;PI;7020;5701;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;SALGADINHO;ERIVAN JÚLIO DA SILVA;Empresário;PSB;NORDESTE;Eleito;1;PB;3126;1835;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;PRESIDENTE TANCREDO NEVES;JOSUE PAULO DOS SANTOS FILHO;Comerciante;AVANTE;NORDESTE;Eleito;1;BA;18395;9268;2025-05-06 19:30:57
Prefeito;Preta;Casado(a);40 a 44 anos;Masculino;Superior completo;ANTÔNIO CARDOSO;JOCIVALDO BISPO DA CONCEIÇÃO DOS ANJOS;Professor de Ensino Médio;PT;NORDESTE;Eleito;1;BA;10373;5519;2025-05-06 19:30:57
